iter	Passed	Remaining
0	28	28294
1	55	27456
2	80	26610
3	107	26711
4	132	26425
5	159	26353
6	186	26451
7	220	27343
8	247	27245
9	272	26961
10	296	26685
11	321	26436
12	347	26362
13	377	26612
14	404	26573
15	434	26703
16	461	26699
17	488	26628
18	517	26699
19	546	26756
20	573	26739
21	601	26734
22	629	26725
23	666	27110
24	697	27195
25	725	27169
26	752	27134
27	783	27195
28	817	27381
29	848	27431
30	880	27524
31	910	27531
32	939	27524
33	964	27412
34	998	27531
35	1027	27504
36	1054	27453
37	1080	27356
38	1110	27359
39	1139	27355
40	1168	27338
41	1196	27295
42	1228	27352
43	1260	27379
44	1290	27377
45	1323	27445
46	1354	27462
47	1382	27426
48	1411	27392
49	1440	27372
50	1469	27337
51	1497	27302
52	1523	27227
53	1553	27220
54	1583	27215
55	1612	27185
56	1638	27106
57	1667	27085
58	1696	27058
59	1731	27126
60	1761	27114
61	1790	27092
62	1818	27046
63	1852	27093
64	1882	27084
65	1911	27046
66	1940	27016
67	1968	26984
68	1997	26954
69	2029	26966
70	2065	27022
71	2094	27000
72	2123	26963
73	2155	26977
74	2189	27000
75	2221	27011
76	2247	26943
77	2275	26902
78	2305	26882
79	2333	26839
80	2361	26788
81	2393	26798
82	2422	26759
83	2449	26710
84	2479	26694
85	2506	26639
86	2534	26600
87	2562	26559
88	2589	26503
89	2620	26496
90	2648	26455
91	2675	26407
92	2703	26363
93	2734	26351
94	2768	26370
95	2798	26356
96	2825	26301
97	2852	26255
98	2878	26193
99	2903	26128
100	2932	26103
101	2959	26056
102	2984	25991
103	3012	25951
104	3041	25927
105	3068	25879
106	3097	25847
107	3123	25795
108	3149	25746
109	3176	25697
110	3203	25656
111	3232	25628
112	3261	25602
113	3289	25563
114	3313	25502
115	3340	25459
116	3369	25433
117	3396	25385
118	3423	25347
119	3450	25300
120	3476	25253
121	3505	25226
122	3529	25168
123	3557	25135
124	3585	25095
125	3610	25042
126	3636	24996
127	3663	24960
128	3690	24916
129	3718	24882
130	3742	24828
131	3770	24790
132	3803	24793
133	3831	24759
134	3857	24717
135	3883	24674
136	3912	24643
137	3937	24595
138	3965	24560
139	3992	24522
140	4018	24481
141	4046	24450
142	4071	24398
143	4099	24369
144	4127	24335
145	4154	24300
146	4179	24251
147	4205	24212
148	4230	24164
149	4257	24124
150	4287	24107
151	4315	24077
152	4343	24045
153	4371	24016
154	4400	23989
155	4427	23955
156	4459	23945
157	4492	23939
158	4522	23919
159	4559	23935
160	4593	23935
161	4625	23925
162	4649	23877
163	4674	23830
164	4702	23797
165	4727	23752
166	4754	23715
167	4780	23674
168	4808	23646
169	4838	23621
170	4864	23582
171	4888	23533
172	4914	23493
173	4939	23446
174	4967	23418
175	4994	23382
176	5022	23353
177	5049	23317
178	5074	23273
179	5100	23234
180	5129	23209
181	5154	23168
182	5180	23129
183	5206	23089
184	5233	23053
185	5259	23015
186	5285	22977
187	5314	22953
188	5339	22911
189	5364	22871
190	5389	22829
191	5416	22796
192	5444	22766
193	5470	22728
194	5496	22688
195	5522	22655
196	5548	22614
197	5576	22588
198	5603	22555
199	5628	22515
200	5657	22488
201	5682	22446
202	5707	22407
203	5736	22383
204	5762	22346
205	5790	22317
206	5817	22287
207	5844	22253
208	5873	22228
209	5900	22195
210	5925	22156
211	5952	22124
212	5977	22084
213	6003	22051
214	6032	22025
215	6059	21992
216	6084	21955
217	6111	21921
218	6136	21882
219	6166	21861
220	6194	21836
221	6220	21798
222	6245	21761
223	6272	21731
224	6302	21709
225	6331	21683
226	6357	21648
227	6382	21609
228	6410	21582
229	6438	21555
230	6463	21517
231	6491	21489
232	6518	21458
233	6543	21419
234	6569	21386
235	6596	21354
236	6621	21318
237	6645	21276
238	6672	21244
239	6696	21206
240	6723	21175
241	6750	21144
242	6775	21107
243	6802	21076
244	6829	21047
245	6854	21009
246	6880	20974
247	6907	20943
248	6932	20907
249	7036	21108
250	7137	21299
251	7218	21425
252	7249	21404
253	7284	21394
254	7316	21375
255	7349	21359
256	7383	21345
257	7417	21332
258	7450	21316
259	7486	21308
260	7520	21293
261	7553	21276
262	7589	21268
263	7620	21244
264	7658	21240
265	7684	21205
266	7710	21167
267	7735	21129
268	7762	21093
269	7788	21059
270	7814	21020
271	7840	20984
272	7864	20944
273	7893	20914
274	7921	20883
275	7947	20848
276	7973	20811
277	7998	20771
278	8023	20733
279	8047	20694
280	8074	20661
281	8099	20623
282	8127	20590
283	8156	20563
284	8182	20528
285	8208	20491
286	8236	20461
287	8261	20424
288	8286	20386
289	8311	20348
290	8336	20311
291	8363	20278
292	8390	20246
293	8417	20214
294	8442	20175
295	8467	20138
296	8493	20104
297	8520	20070
298	8545	20035
299	8573	20004
300	8600	19971
301	8624	19933
302	8650	19898
303	8677	19867
304	8703	19832
305	8729	19799
306	8756	19765
307	8780	19727
308	8811	19705
309	8842	19681
310	8867	19644
311	8893	19612
312	8918	19575
313	8944	19540
314	8972	19511
315	8997	19475
316	9023	19442
317	9049	19408
318	9074	19371
319	9099	19336
320	9126	19305
321	9154	19274
322	9178	19238
323	9207	19210
324	9233	19178
325	9263	19152
326	9288	19116
327	9313	19081
328	9339	19048
329	9364	19013
330	9389	18978
331	9416	18946
332	9441	18911
333	9474	18891
334	9501	18861
335	9526	18825
336	9553	18796
337	9581	18766
338	9606	18731
339	9633	18699
340	9658	18665
341	9685	18634
342	9716	18611
343	9742	18578
344	9766	18543
345	9793	18511
346	9818	18476
347	9846	18448
348	9871	18413
349	9897	18380
350	9924	18349
351	9948	18314
352	9975	18283
353	10000	18249
354	10026	18217
355	10052	18185
356	10079	18154
357	10104	18119
358	10140	18105
359	10164	18069
360	10190	18037
361	10217	18007
362	10242	17973
363	10269	17942
364	10295	17910
365	10321	17878
366	10346	17846
367	10374	17816
368	10401	17786
369	10428	17756
370	10454	17724
371	10480	17693
372	10505	17659
373	10532	17629
374	10558	17597
375	10587	17571
376	10613	17538
377	10638	17506
378	10665	17475
379	10689	17440
380	10719	17416
381	10745	17384
382	10770	17351
383	10797	17320
384	10824	17290
385	10851	17261
386	10878	17231
387	10903	17197
388	10930	17169
389	10954	17134
390	10981	17104
391	11010	17077
392	11039	17050
393	11064	17018
394	11090	16986
395	11115	16953
396	11143	16926
397	11169	16893
398	11195	16863
399	11220	16830
400	11248	16803
401	11275	16772
402	11302	16743
403	11327	16711
404	11353	16679
405	11377	16646
406	11403	16615
407	11428	16582
408	11458	16556
409	11484	16527
410	11510	16495
411	11536	16465
412	11561	16432
413	11589	16404
414	11613	16371
415	11638	16339
416	11663	16306
417	11690	16276
418	11717	16247
419	11743	16217
420	11769	16186
421	11794	16154
422	11819	16122
423	11846	16093
424	11873	16063
425	11900	16034
426	11926	16004
427	11951	15972
428	11975	15940
429	12002	15909
430	12027	15878
