ID,quality
2194,0
3769,1
310,0
3376,0
98,0
1459,0
2657,0
1019,0
3040,0
2412,0
2102,0
4215,0
2019,0
3122,0
3025,0
2484,0
4701,1
4714,0
1815,0
3477,0
2224,0
2816,0
1765,0
764,0
4503,0
2509,0
3496,0
1770,0
2353,0
2251,0
3109,0
2118,1
4753,1
3383,0
3931,0
4301,1
3224,0
557,0
2064,0
2273,0
4316,1
2042,0
1034,0
1182,0
857,0
592,0
2004,0
3707,0
3743,0
1705,0
3489,1
2526,0
1237,1
1287,0
1140,0
2246,0
1682,0
1402,0
3460,0
1978,0
4265,1
2557,0
4123,1
3214,0
1310,0
296,0
3009,0
2272,0
1816,0
4357,1
830,0
4638,0
4004,1
540,0
3390,1
2958,0
1073,0
4622,1
3394,0
1456,0
737,0
4299,0
809,0
3618,0
1846,0
4096,0
2580,0
4391,1
4130,1
831,0
1901,0
3975,1
2097,0
3054,1
381,0
4551,0
42,0
2954,0
2491,0
2434,0
400,0
4470,1
1106,0
3731,0
3448,0
4069,1
2840,0
3060,0
2066,0
1999,0
3032,0
1392,0
3116,0
2468,0
3068,0
2609,0
2968,0
2085,0
4507,0
675,0
1756,0
1828,0
2779,0
2978,0
2350,1
1488,0
1537,0
332,0
2140,0
3614,0
2653,0
4042,0
4596,1
4791,1
1957,0
1965,0
116,0
2009,0
3244,0
1354,0
1258,0
4861,1
4782,0
295,0
1424,0
193,0
3756,0
1297,0
4351,1
141,0
4605,1
1567,0
3,0
4632,1
250,0
1158,0
3711,0
1827,0
4835,1
4277,1
4210,1
2581,0
2047,0
3602,0
3879,1
4818,1
3700,1
4801,1
1968,0
974,0
2163,0
1814,0
4881,0
49,0
2002,0
1573,0
1560,0
1889,0
3371,0
3216,0
3593,0
763,0
1135,0
2091,0
1429,0
673,0
3920,0
2077,0
1766,0
3123,0
977,0
1712,0
981,0
2451,1
2941,0
1227,0
1668,0
1070,0
1006,0
629,0
4143,0
2686,0
330,0
47,0
676,0
4338,1
966,0
4699,1
4774,1
588,0
4876,0
4631,0
1078,0
4630,0
1597,0
1435,0
248,0
2673,0
2424,1
1499,0
3696,0
4510,0
1330,0
3235,0
3401,0
828,0
1132,0
1278,0
2113,0
1783,0
3171,0
2913,0
3974,1
4314,0
4864,1
3912,1
870,0
3465,0
1276,0
1852,0
4672,1
1641,0
1639,0
1201,0
2964,0
3314,0
2868,0
2572,0
3672,0
4416,1
2292,0
1460,0
3350,0
3948,1
1107,0
3263,0
2443,0
4823,0
713,0
3468,0
2953,1
97,0
2881,0
2368,0
2124,0
2963,0
4757,0
792,0
1557,0
2238,1
344,0
3257,0
3351,0
4076,0
840,0
2961,0
4727,0
2442,0
942,0
89,0
3628,0
2119,0
2385,0
3138,0
161,0
4021,1
3926,0
378,0
2981,1
2034,0
276,0
3549,0
4571,0
2889,0
2433,0
1655,0
1616,0
4345,1
2640,0
4413,0
606,0
1211,0
3717,0
427,0
782,0
1920,0
1813,0
4179,1
989,0
3579,0
4552,1
4342,1
2782,0
3635,0
2920,0
1677,0
979,0
3724,0
2760,0
2432,0
4821,1
4250,1
983,0
2955,0
2093,0
2992,0
3227,0
1293,0
2934,0
4815,1
2663,0
1993,0
2683,0
4222,0
2160,0
743,0
2227,0
1857,0
2478,0
1063,0
750,0
2654,0
2806,0
3803,0
4418,0
1228,0
903,0
602,0
4406,1
971,0
1613,0
1811,0
963,0
585,0
3218,0
2164,0
990,0
1819,0
2072,0
1198,0
3422,0
1081,0
3775,0
3056,0
862,0
3419,0
334,0
522,0
2346,0
2555,0
3872,1
1842,0
875,0
4613,1
3951,1
317,0
4079,0
224,0
591,0
1697,0
666,0
3991,0
1591,0
377,0
4751,1
3172,0
1652,0
2313,0
1715,0
4694,1
3232,1
3270,0
2461,1
2890,0
3356,0
4245,0
200,0
3063,0
2186,0
2592,0
4400,1
1893,0
153,0
637,0
3986,1
4642,1
2016,0
4592,1
2086,0
152,0
4128,0
2208,0
3215,0
4325,0
2107,0
1787,0
4675,1
3242,0
2720,0
1914,0
4659,0
2414,0
4871,1
1230,0
113,0
3074,0
4688,1
3959,0
2024,0
706,0
2907,0
3504,0
4893,0
2821,0
555,0
4304,1
3728,0
3039,0
492,0
212,0
1014,1
3112,0
3560,0
4006,1
3754,1
2122,0
2084,0
2914,0
2179,0
4772,1
4199,0
583,0
3550,0
4658,0
4600,1
4270,0
2884,0
1486,0
3360,0
679,0
4204,1
1026,0
3352,0
2589,1
3742,0
3563,0
4556,0
4858,0
2877,0
4030,1
610,0
747,0
4681,1
3790,0
4183,0
3469,0
507,0
886,0
2061,0
210,0
358,0
4479,1
2010,0
1004,0
4862,0
3367,1
2258,0
4296,1
2784,0
962,0
2558,0
2146,0
640,0
2701,0
1095,0
3993,1
3773,0
2071,0
2611,0
4469,1
3702,0
3005,0
2588,0
4061,1
3639,0
3287,0
147,0
1303,0
4608,1
2155,0
1979,0
2480,1
1122,0
4404,1
4300,0
3859,1
938,0
1982,0
3641,0
855,0
4863,1
1134,0
41,0
2184,0
4625,1
2892,0
2137,0
678,0
451,0
1454,0
4577,0
3554,0
4514,1
1880,0
1519,0
3317,0
56,0
2757,0
290,0
2329,0
3727,0
2831,0
3146,0
3740,0
253,0
2197,0
829,1
3648,0
3435,0
2985,0
1984,0
4407,1
2115,0
1045,0
2359,0
847,0
3130,0
2233,0
2333,0
2216,0
3870,1
3791,1
2700,0
3170,0
1458,0
3895,1
3757,0
2053,0
3470,0
1747,0
2781,0
3124,0
1446,0
3081,0
3800,1
4813,0
4690,1
2457,0
2500,0
1797,0
1082,0
3985,1
845,0
925,0
2574,0
2058,0
345,0
4559,1
3955,0
4506,1
1060,0
4281,1
2170,0
3946,1
2865,0
4181,1
3055,0
4759,1
3760,0
3891,1
2807,0
3516,0
2103,0
1265,0
3322,0
2904,0
1525,0
2823,0
2695,0
4045,0
2441,0
3313,0
1995,0
4195,1
1071,0
2839,0
3505,0
2411,0
726,0
1450,1
4830,0
3478,0
1407,0
1743,0
3664,0
2168,0
1144,0
185,0
1101,0
1342,0
299,0
2440,0
3493,1
1048,0
461,0
3312,0
1508,0
3451,0
617,0
3377,0
2021,0
2154,0
166,0
1703,0
2675,0
777,0
4709,0
582,1
3530,0
2466,0
1962,0
3758,0
581,0
1894,0
4897,1
2125,0
1369,0
650,0
761,0
3387,0
2642,0
4156,0
4027,1
2501,0
4773,1
4066,0
1981,0
2279,0
2076,0
2762,0
411,0
3049,0
4105,0
3730,0
3586,0
3147,0
4426,0
4202,0
1455,0
2829,0
2871,1
2278,0
2392,0
3972,0
1955,0
398,1
229,0
3659,0
202,0
3781,0
3848,1
2726,0
112,0
2032,0
4670,1
3445,0
3021,0
2003,0
3774,0
2685,0
2460,0
2219,0
1013,0
4334,1
4732,1
2738,0
3484,0
3583,1
2630,0
2180,0
859,0
4087,0
483,0
3480,1
1847,0
4367,1
247,0
3177,0
1972,0
3638,0
243,0
4287,1
4395,1
1066,0
3368,0
4283,0
639,0
3296,0
1651,0
1872,0
4529,1
3293,0
968,0
1854,0
3285,0
2870,0
2767,0
4768,0
1400,0
37,0
3228,0
3523,1
4084,0
4074,0
4695,1
1704,0
19,0
4359,1
3657,0
3444,0
2535,0
4629,0
1930,0
3513,0
365,0
2394,1
3487,0
2950,0
107,0
3518,0
3954,0
1706,0
3705,0
158,0
2493,0
3741,0
4347,0
1899,0
457,0
921,0
1565,0
1275,0
920,0
2704,0
1024,0
987,0
320,0
2828,0
561,0
3607,0
2174,0
1514,0
1727,0
3787,0
4290,1
1476,0
2356,0
1271,0
954,0
4673,0
641,0
487,0
433,0
163,0
3918,1
3194,0
1989,0
4465,0
1584,0
1124,0
4052,0
1564,0
1643,0
3475,0
4828,1
1395,0
3570,0
4016,1
3328,0
3431,0
4478,1
1558,0
2370,1
2582,0
1959,0
634,0
1451,0
4356,1
1730,0
3821,0
138,0
3108,0
4842,1
2993,0
1849,0
732,0
3782,1
4859,0
1334,0
3843,1
2577,0
1260,0
154,0
2340,0
1538,0
1426,0
5,0
2327,0
2856,1
2141,0
3410,0
1206,0
1870,0
421,0
695,0
4302,1
3094,0
4499,1
2858,0
3962,1
4566,1
3620,0
3792,0
23,0
1336,0
692,0
754,0
2552,0
2159,0
1808,0
2787,0
4627,1
2708,0
4601,0
2584,0
1933,0
1470,0
3969,1
4655,1
2011,0
435,0
530,0
1867,0
3982,0
3443,0
3625,0
1693,0
4165,1
4410,1
4315,1
1327,0
29,0
3349,0
2604,1
1923,0
3604,0
60,0
4895,1
1467,0
4484,1
4565,0
3136,0
919,0
632,0
1126,0
432,1
2056,0
2041,0
2157,0
2674,0
3301,0
1526,0
440,0
2737,0
1148,1
1738,0
52,0
4539,0
2595,0
1477,0
4370,1
340,0
1660,0
4273,1
137,0
631,0
1414,0
3237,0
1883,0
4505,0
1790,0
4650,0
4362,0
2875,0
4817,1
4166,1
1745,0
1909,0
1961,0
4082,1
3633,0
539,0
384,0
835,0
1412,0
417,0
219,0
2808,0
3627,0
3615,0
1636,0
4742,1
1055,0
3973,1
4232,0
4364,1
3784,0
2945,0
2485,0
2990,0
1497,0
3031,0
3601,1
594,0
3143,0
3291,0
4589,1
2399,0
1844,0
4793,1
4211,1
647,0
3229,0
4000,0
2710,0
4330,1
1744,0
223,0
1125,0
4520,0
1996,0
4437,0
4452,1
2494,0
36,0
90,0
3331,0
1778,0
951,0
1100,0
